Country,Year,Value
Korea,2005,39.6
Korea,2006,39.8
Korea,2007,38.2
Korea,2008,39
Korea,2009,38.6
Korea,2010,39.6
Korea,2011,36.6
Korea,2012,36.3
Korea,2013,36.6
Korea,2014,36.7
Korea,2015,37.2
Korea,2016,36.7
Korea,2017,34.6
Korea,2018,34.1
Korea,2019,32.5
Korea,2020,31.5
Spain,2006,13.5
Spain,2010,13.5
Spain,2014,11.5
Spain,2018,8.6
Belgium,2005,11.5
Belgium,2006,10.3
Belgium,2007,9.9
Belgium,2008,8.9
Belgium,2009,7.5
Belgium,2010,7
Belgium,2011,5.8
Belgium,2012,6.4
Belgium,2013,5.9
Belgium,2014,3.3
Belgium,2015,4.7
Belgium,2016,3.7
Belgium,2017,4.2
Belgium,2018,3.4
Poland,2006,11.4
Poland,2008,13
Poland,2010,7.2
Poland,2012,10.6
Poland,2014,11.1
Poland,2016,9.4
Poland,2018,11.5
Netherlands,2006,16
Netherlands,2010,17.9
Netherlands,2014,15.3
Netherlands,2018,12.7
Germany,2005,16.3
Germany,2006,18.1
Germany,2007,16.7
Germany,2008,16.7
Germany,2009,16.5
Germany,2010,16.7
Germany,2011,16.9
Germany,2012,15.6
Germany,2013,14.1
Germany,2014,17.2
Germany,2015,15.8
Germany,2016,15.5
Germany,2017,16.2
Germany,2018,15.3
Germany,2019,13.9
Denmark,2005,10.2
Denmark,2006,10.2
Denmark,2007,9.9
Denmark,2008,10.2
Denmark,2009,10.2
Denmark,2010,8.9
Denmark,2011,7.9
Denmark,2012,7
Denmark,2013,6.8
Denmark,2014,6.3
Denmark,2015,5.8
Denmark,2016,5.7
Denmark,2017,5.3
Denmark,2018,4.9
Denmark,2019,5.1
Czech Republic,2005,15.9
Czech Republic,2006,15.4
Czech Republic,2007,16.9
Czech Republic,2008,17.9
Czech Republic,2009,15.1
Czech Republic,2010,15.8
Czech Republic,2011,16.3
Czech Republic,2012,15.3
Czech Republic,2013,15.4
Czech Republic,2014,16.3
Czech Republic,2015,16.5
Czech Republic,2016,16
Czech Republic,2017,15.6
Czech Republic,2018,15.1
Czech Republic,2019,14.7
Czech Republic,2020,12.4
Iceland,2005,13.2
Iceland,2006,23.3
Iceland,2007,15.9
Iceland,2008,13.3
Iceland,2009,16
Iceland,2010,16.5
Iceland,2011,14.1
Iceland,2013,14.5
Iceland,2014,13.8
Iceland,2015,9.9
Iceland,2016,11.5
Iceland,2018,12.9
Mexico,2005,16.7
Mexico,2006,18.6
Mexico,2007,12.5
Mexico,2008,22.2
Mexico,2009,16.7
Mexico,2010,11.6
Mexico,2011,10
Mexico,2012,13.6
Mexico,2013,15.4
Mexico,2014,18.3
Mexico,2015,16.7
Mexico,2016,16.5
Mexico,2017,11.1
Mexico,2018,14
Mexico,2019,18.8
Mexico,2020,9.6
Norway,2005,8.6
Norway,2006,8.2
Norway,2007,8.8
Norway,2008,8.8
Norway,2009,8.3
Norway,2010,7.2
Norway,2011,7.1
Norway,2012,5.8
Norway,2013,6.6
Norway,2014,5.8
Norway,2015,7
Norway,2016,6.3
Norway,2017,5.5
Norway,2018,5.1
Norway,2019,4.4
Norway,2020,4.8
Japan,2005,32.8
Japan,2006,33
Japan,2007,31.7
Japan,2008,30.7
Japan,2009,28.3
Japan,2010,28.7
Japan,2011,27.4
Japan,2012,26.5
Japan,2013,26.6
Japan,2014,25.9
Japan,2015,25.7
Japan,2016,24.6
Japan,2017,24.5
Japan,2018,23.5
Japan,2019,23.5
Japan,2020,22.5
Turkey,2006,3.2
Turkey,2010,3.1
Turkey,2014,6.9
Turkey,2018,10
Austria,2005,22
Austria,2006,21.9
Austria,2007,21.6
Austria,2008,20.9
Austria,2009,19.4
Austria,2010,19.2
Austria,2011,18.6
Austria,2012,18.2
Austria,2013,18.1
Austria,2014,17.7
Austria,2015,17
Austria,2016,15.7
Austria,2017,15.4
Austria,2018,14.9
Austria,2019,14
Israel,2005,21.9
Israel,2006,22
Israel,2007,20.4
Israel,2008,22.1
Israel,2009,21.1
Israel,2010,20.4
Israel,2011,19.7
Israel,2012,20
Israel,2013,20.3
Israel,2014,20.1
Israel,2015,20.4
Israel,2016,21.6
Israel,2017,21.8
Israel,2018,22.7
Chile,2006,5.6
Chile,2009,9.1
Chile,2011,16
Chile,2013,10.7
Chile,2015,14.3
Chile,2017,12.5
Chile,2020,8.6
Sweden,2005,11.3
Sweden,2006,11
Sweden,2007,11.8
Sweden,2008,10.6
Sweden,2009,9.5
Sweden,2010,9.4
Sweden,2011,9.2
Sweden,2012,9.3
Sweden,2013,9.4
Sweden,2014,9.2
Sweden,2015,8.3
Sweden,2016,8.2
Sweden,2017,7.3
Sweden,2018,7.1
Sweden,2019,7.6
Sweden,2020,7.4
United Kingdom,2005,22.1
United Kingdom,2006,21.7
United Kingdom,2007,21.6
United Kingdom,2008,21.9
United Kingdom,2009,20.7
United Kingdom,2010,19.2
United Kingdom,2011,18.2
United Kingdom,2012,17.8
United Kingdom,2013,17.5
United Kingdom,2014,17.4
United Kingdom,2015,17.1
United Kingdom,2016,16.8
United Kingdom,2017,16.5
United Kingdom,2018,16.3
United Kingdom,2019,16.1
United Kingdom,2020,12.3
Estonia,2006,29.7
Estonia,2010,23.5
Estonia,2014,22.9
Estonia,2018,17.3
Portugal,2005,16
Portugal,2006,12.8
Portugal,2007,15.3
Portugal,2008,15.6
Portugal,2009,13.8
Portugal,2010,16
Portugal,2011,15.2
Portugal,2012,16.3
Portugal,2013,16.7
Portugal,2014,15.3
Portugal,2015,18.9
Portugal,2016,14.3
Portugal,2017,14.8
Portugal,2018,11.7
Canada,2005,21.3
Canada,2006,21.1
Canada,2007,20.8
Canada,2008,20.5
Canada,2009,20.1
Canada,2010,19
Canada,2011,19.2
Canada,2012,19.5
Canada,2013,19.3
Canada,2014,19.2
Canada,2015,18.6
Canada,2016,18.2
Canada,2017,18.2
Canada,2018,18.5
Canada,2019,17.6
Canada,2020,16.1
Ireland,2006,19.6
Ireland,2010,14.3
Ireland,2014,10.6
Ireland,2018,8.3
Finland,2005,18.9
Finland,2006,19.4
Finland,2007,21.4
Finland,2008,21.2
Finland,2009,19.7
Finland,2010,18.9
Finland,2011,18.6
Finland,2012,18.7
Finland,2013,20.2
Finland,2014,19.6
Finland,2015,18.1
Finland,2016,16.5
Finland,2017,17.7
Finland,2018,18.9
Finland,2019,17.2
Lithuania,2006,16.8
Lithuania,2010,10.6
Lithuania,2014,12.5
Lithuania,2018,11.7
Greece,2005,16.7
Greece,2006,17.7
Greece,2007,11.6
Greece,2008,9.5
Greece,2009,9.6
Greece,2010,9.9
Greece,2011,10.7
Greece,2012,6.9
Greece,2013,11.3
Greece,2014,7.2
Greece,2015,6.3
Greece,2016,4.5
Greece,2017,4.5
Greece,2018,5.9
New Zealand,2005,9.6
New Zealand,2006,9.3
New Zealand,2007,7.1
New Zealand,2008,8.1
New Zealand,2009,8.8
New Zealand,2010,7
New Zealand,2011,4.5
New Zealand,2012,5.9
New Zealand,2013,6.6
New Zealand,2014,6.1
New Zealand,2015,7.9
New Zealand,2016,7.8
New Zealand,2017,7.2
New Zealand,2018,7.9
New Zealand,2019,6.5
New Zealand,2020,4.6
Switzerland,2006,21.3
Switzerland,2008,21.3
Switzerland,2010,20.1
Switzerland,2012,19.3
Switzerland,2014,16.9
Switzerland,2016,14.8
Switzerland,2018,15.1
Slovak Republic,2005,20.1
Slovak Republic,2006,17.8
Slovak Republic,2007,17.5
Slovak Republic,2008,16.4
Slovak Republic,2009,16.4
Slovak Republic,2010,14.9
Slovak Republic,2011,15.4
Slovak Republic,2012,16
Slovak Republic,2013,14.1
Slovak Republic,2014,14.4
Slovak Republic,2015,13.4
Slovak Republic,2016,13.9
Slovak Republic,2017,15
Slovak Republic,2018,15.7
Slovak Republic,2019,13.9
Slovak Republic,2020,11
Latvia,2006,8.5
Latvia,2010,19.1
Latvia,2014,21.1
Latvia,2018,20.3
Italy,2006,10.5
Italy,2008,11.8
Italy,2010,5.6
Italy,2012,11.1
Italy,2014,6.6
Italy,2016,5.6
Italy,2018,5.7
Hungary,2005,4
Hungary,2006,0.4
Hungary,2007,3.6
Hungary,2008,2.2
Hungary,2009,3.9
Hungary,2010,6.4
Hungary,2011,6.9
Hungary,2012,11.3
Hungary,2013,8.7
Hungary,2014,3.8
Hungary,2015,9.5
Hungary,2016,9.4
Hungary,2017,5.3
Hungary,2018,5.1
Hungary,2019,12.8
Colombia,2007,1.3
Colombia,2008,1.7
Colombia,2009,3.4
Colombia,2010,6.4
Colombia,2011,3.5
Colombia,2012,8.2
Colombia,2013,7.1
Colombia,2014,9.6
Colombia,2015,11.1
Colombia,2016,7.1
Colombia,2017,7.7
Colombia,2018,5.8
Colombia,2019,4
Colombia,2020,-0.1
United States,2005,19
United States,2006,19.2
United States,2007,19.8
United States,2008,20.1
United States,2009,19.8
United States,2010,18.8
United States,2011,17.8
United States,2012,19.1
United States,2013,17.9
United States,2014,17.5
United States,2015,18.9
United States,2016,18.1
United States,2017,18.2
United States,2018,18.9
United States,2019,18.5
United States,2020,17.7
Australia,2005,15.8
Australia,2006,16.7
Australia,2007,15.4
Australia,2008,11.9
Australia,2009,16.4
Australia,2010,14
Australia,2011,16
Australia,2012,13.8
Australia,2013,18
Australia,2014,15.4
Australia,2015,13
Australia,2016,11.5
Australia,2017,11.7
Australia,2018,11.7
Australia,2019,14.2
Australia,2020,9.9
France,2005,14.4
France,2006,9.4
France,2007,14
France,2008,14.3
France,2009,14
France,2010,9.1
France,2011,14
France,2012,13.7
France,2013,13.7
France,2014,9.9
France,2015,13
France,2016,13.7
France,2018,11.8
Luxembourg,2006,7.7
Luxembourg,2010,4.6
Luxembourg,2014,3.4
Luxembourg,2018,-3.1
Slovenia,2006,6.6
Slovenia,2010,1
Slovenia,2014,5
Slovenia,2018,8.2
Costa Rica,2010,0
Costa Rica,4.6,
Costa Rica,2012,0.6
Costa Rica,2013,0
Costa Rica,2014,5.1
Costa Rica,2015,3.7
Costa Rica,2016,1.8
Costa Rica,2017,3
Costa Rica,2018,4.7
Costa Rica,2019,0
Costa Rica,,2020
