順,名前,TM,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率,year
1,村上宗隆,ヤクルト,0.318,141,612,487,114,155,21,1,56,346,134,12,7,0,0,118,25,7,128,7,0.458,0.71,2022
2,大島洋平,中日,0.314,109,482,436,48,137,18,1,1,160,20,11,4,3,0,34,5,9,52,1,0.376,0.367,2022
3,佐野恵太,DeNA,0.306,133,574,526,63,161,29,1,22,258,72,2,1,0,1,43,3,4,57,14,0.362,0.49,2022
4,宮﨑敏郎,DeNA,0.3,122,482,434,51,130,24,1,16,204,50,0,0,0,2,44,9,2,35,16,0.365,0.47,2022
5,ビシエド,中日,0.294,129,532,483,52,142,27,0,14,211,63,1,1,0,2,40,2,7,59,20,0.355,0.437,2022
6,近本光司,阪神,0.293,132,580,525,71,154,16,3,3,185,34,30,5,6,1,41,0,7,63,7,0.352,0.352,2022
7,岡林勇希,中日,0.291,142,608,553,58,161,25,10,0,206,32,24,6,22,1,29,1,3,67,4,0.329,0.373,2022
8,牧秀悟,DeNA,0.291,135,568,509,63,148,36,1,24,258,87,3,3,0,6,43,4,10,82,14,0.354,0.507,2022
9,坂倉将吾,広島,0.288,143,599,539,73,155,18,3,16,227,68,2,1,0,4,46,3,10,81,14,0.352,0.421,2022
10,吉川尚輝,巨人,0.277,132,567,516,64,143,20,6,7,196,31,16,7,10,1,32,0,8,53,6,0.329,0.38,2022
11,中野拓夢,阪神,0.276,135,610,569,69,157,16,3,6,197,25,23,7,19,1,18,0,3,89,9,0.301,0.346,2022
12,塩見泰隆,ヤクルト,0.276,130,567,508,83,140,30,6,16,230,54,24,7,1,3,43,1,12,122,6,0.345,0.453,2022
13,丸佳浩,巨人,0.272,143,607,525,81,143,31,1,27,257,65,6,7,1,0,80,1,1,88,8,0.37,0.49,2022
14,マクブルーム,広島,0.272,128,508,448,57,122,25,0,17,198,74,0,0,0,3,52,2,5,105,13,0.352,0.442,2022
15,オスナ,ヤクルト,0.272,138,529,496,49,135,19,2,20,218,74,2,3,0,3,29,4,1,93,11,0.312,0.44,2022
16,阿部寿樹,中日,0.27,133,548,486,44,131,31,2,9,193,57,3,1,3,6,49,0,4,105,14,0.338,0.397,2022
17,大山悠輔,阪神,0.267,124,510,439,54,117,18,1,23,206,87,0,1,1,5,59,5,6,103,17,0.358,0.469,2022
18,小園海斗,広島,0.266,127,511,473,57,126,12,6,7,171,38,2,2,8,5,24,2,1,76,11,0.3,0.362,2022
19,佐藤輝明,阪神,0.264,143,603,541,70,143,35,8,20,254,84,11,3,0,7,51,5,4,137,5,0.328,0.47,2022
20,菊池涼介,広島,0.262,123,522,462,51,121,25,1,6,166,45,2,3,32,2,24,0,2,70,7,0.3,0.359,2022
21,桑原将志,DeNA,0.257,130,529,475,61,122,32,1,4,168,39,13,8,7,1,42,0,4,89,3,0.322,0.354,2022
22,岡本和真,巨人,0.252,140,589,520,63,131,21,1,30,244,82,1,1,0,2,58,7,9,94,11,0.336,0.469,2022
23,糸原健斗,阪神,0.247,132,495,445,31,110,12,1,3,133,36,2,3,6,4,35,1,5,48,7,0.307,0.299,2022
24,木下拓哉,中日,0.246,120,466,419,24,103,16,3,6,143,48,2,0,12,6,27,3,1,38,5,0.289,0.341,2022
25,山田哲人,ヤクルト,0.243,130,540,469,69,114,31,0,23,214,65,10,2,0,5,60,1,6,140,7,0.333,0.456,2022
26,長岡秀樹,ヤクルト,0.241,139,548,511,44,123,22,0,9,172,48,2,3,10,3,20,1,4,72,10,0.273,0.337,2022
27,ポランコ,巨人,0.24,138,484,438,55,105,21,1,24,200,58,2,3,0,3,42,1,1,109,6,0.306,0.457,2022